label,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29
0,-0.19740640825405809,-0.8525532634426785,-0.18858406468108635,-0.49658536585365853,0.3193102825674825,-0.1649592049567512,-0.04779756326148088,0.0904572564612327,-0.08484848484848473,-0.12679022746419522,-0.7759188846641318,-0.8682372701555869,-0.8070018376289874,-0.8586546830582109,-0.7498045347928068,-0.6851924174602698,-0.7826767676767676,-0.4999052850918735,-0.7175099904316992,-0.773834694526208,-0.22732123799359671,-0.732409381663113,-0.25703471288410773,-0.5493511600471883,0.08208413128178016,-0.3577048830417867,-0.06869009584664532,0.2556701030927837,-0.3491030948156908,-0.39708776072412433
1,-0.44446022054995504,-0.2113628677713899,-0.4632022666021698,-0.6852598091198303,-0.5868917576961272,-0.6087356603889332,-0.712933458294283,-0.8144135188866799,-0.4747474747474747,-0.5290648694187023,-0.7191381495564007,-0.3644801980198019,-0.8308438957734534,-0.8713555149627007,-0.7077880137335554,-0.3608916393787365,-0.7386363636363636,-0.4919492328092442,-0.47070411436933635,-0.5276453436148306,-0.5396655994308075,-0.20095948827292087,-0.5894217839533841,-0.7735941801022415,-0.6982103942415638,-0.6772904114639424,-0.7063897763578275,-0.6150515463917525,-0.6361127537945989,-0.6527613800341074
0,0.15755596573429909,-0.40074399729455545,0.12929306889641357,-0.14443266171792157,-0.04902049291324362,-0.34163548248573705,-0.380037488284911,-0.10596421471172957,-0.1343434343434342,-0.5935130581297385,-0.5538656527249685,-0.6318953323903818,-0.6155114734014984,-0.642516408354159,-0.6773974232586599,-0.6874455493135458,-0.8512626262626263,-0.41731388520553137,-0.7006247537569651,-0.8816245871508919,0.29562433297758806,-0.14072494669509572,0.19219084615767734,-0.0366692882422337,0.20491316119659198,-0.3716758351039574,-0.3803514376996804,0.4371134020618559,-0.22255075891977127,-0.6340023612750887
1,-0.4804297411141083,-0.48596550557997986,-0.4933314905673414,-0.7144432661717921,-0.33826848424663725,-0.6508189681614625,-0.8308809746954078,-0.7645129224652087,-0.5292929292929291,-0.5577085088458293,-0.9697990222705052,-0.814002828854314,-0.9532582575507704,-0.9809188678329019,-0.8583812081449501,-0.8278907681677532,-0.932020202020202,-0.7311612047736313,-0.7895536669105645,-0.955350109862775,-0.5638562789043045,-0.3432835820895521,-0.5775686040141441,-0.7925186787259143,-0.2547051442910919,-0.5666870409717574,-0.676038338658147,-0.27628865979381434,-0.42046126552335883,-0.7170405352223534
1,-0.4813763074447439,-0.3114643219479203,-0.49360790546610445,-0.7219088016967126,-0.42439288616051285,-0.4968406846205754,-0.6799437675726336,-0.691948310139165,-0.2717171717171716,-0.47219882055602325,-0.8169835234474019,-0.6995226308345119,-0.8282994864062574,-0.9196186761997617,-0.6725022945915626,-0.527773605311383,-0.762020202020202,-0.46845993559386245,-0.45072325097090105,-0.7404612854635655,-0.6065457132692991,-0.41098081023454136,-0.6242840778923252,-0.8200452221785293,-0.5531928944066566,-0.6342133092722493,-0.6958466453674121,-0.47594501718213056,-0.5584466784939877,-0.7035287944378854
1,-0.6328269203464432,-0.20392289482583714,-0.6583511851288784,-0.8159066808059385,-0.6085582739008757,-0.8595791669222748,-1.0,-1.0,-0.3929292929292929,-0.5989890480202189,-0.8516748144124571,-0.5828323903818953,-0.8720256325684399,-0.9481955479848636,-0.46520719311962455,-0.867996515156067,-1.0,-1.0,-0.37642820960207113,-0.9078810994569046,-0.7346140163642831,-0.32036247334754786,-0.7642312864186462,-0.8883700353912701,-0.617909265006934,-0.9103724617011575,-1.0,-1.0,-0.647940074906367,-0.8572740390922209
1,-0.5845520374840267,-0.37910043963476503,-0.6077672586552414,-0.7857900318133616,-0.3770876591134784,-0.8116679958284769,-0.8875820056232427,-0.7839960238568588,-0.03737373737373728,-0.596040438079191,-0.8883939887742169,-0.2866867043847241,-0.8871978513876455,-0.960074561354357,-0.6719583914063296,-0.8242857572025115,-0.9305050505050505,-0.6240197007008903,-0.2604829177688972,-0.8595138399458285,-0.6848096762717895,-0.24733475479744116,-0.7123362717266795,-0.8652674007078254,-0.4633824209205575,-0.8645787854973757,-0.8797284345047923,-0.5736769759450171,-0.32899664892568503,-0.8045388954479864
0,0.11969331250887416,-0.30537707135610437,0.0657176421809138,-0.18685047720042425,-0.33917125575516827,-0.7579289614134103,-0.6241799437675727,-0.41918489065606357,-0.505050505050505,-1.0,-0.8429838855694369,-0.7932284299858556,-0.8486547613438251,-0.8881654395421723,-0.6017268926131148,-0.866494427253883,-0.8675252525252526,-0.44572835764349306,-0.6786739460798108,-0.946022138385639,-0.1440768409818569,-0.34541577825159897,-0.21719209123960348,-0.48348407392843096,-0.2982896387769929,-0.8278662281340048,-0.6469648562300319,-0.11065292096219936,-0.6049674748669427,-0.9694346057982424
1,-0.3838799753892752,-0.14846127832262446,-0.40404947826687865,-0.6458112407211029,-0.3700460413469351,-0.6466474449420281,-0.7773664479850048,-0.6636182902584493,-0.24343434343434334,-0.6958719460825606,-0.9114249502082202,-0.5611739745403111,-0.9078358384771239,-0.9499512512187196,-0.8135771832613794,-0.8262384714753508,-0.8941919191919192,-0.5514301951127107,-0.7600045027297798,-0.9266752345812086,-0.48630380647456417,0.05543710021321968,-0.516011753573385,-0.7475422729060166,-0.4052697616060228,-0.720949636658226,-0.6354632587859426,-0.1189003436426116,-0.4851172876010248,-0.8146399055489966
1,-0.7552179468976288,-0.5806560703415624,-0.7730633681155413,-0.8845387062566278,-0.42204568023833167,-0.8681675970799339,-0.9225866916588567,-0.8342942345924453,-0.5040404040404041,-0.4073294018534117,-0.9248958899149013,-0.7923002121640734,-0.9568392781416388,-0.978191924512232,-0.3250841350239657,-0.8776098777300448,-0.9401010101010101,-0.6354233756393257,-0.5511904091855687,-0.8172270359161449,-0.816435432230523,-0.6194029850746268,-0.8473031525474376,-0.9259241053873377,0.04642409033877026,-0.8683237768140408,-0.8856070287539937,-0.5036426116838487,-0.530061107825744,-0.6492194674012857
0,-0.038383264707274156,-0.5475143726750087,-0.002004008016031955,-0.34744432661717917,0.19111672835605287,0.2773449481626893,0.044517338331771183,0.39264413518886676,1.0,0.01811288963774249,-0.32319391634981,-0.7278111739745403,-0.38566649389812935,-0.6092701130747593,-0.570588435258524,-0.4631838255174693,-0.8115151515151515,-0.09187346088274295,-0.5722969550289863,-0.5474759200143718,0.018854500177872602,-0.5,0.01588724538074615,-0.3728863546991742,0.10057452288185953,-0.2866858767257522,-0.3845047923322684,0.7525773195876291,-0.01399566331559221,-0.3328086055358783
1,-0.6138955937337307,-0.6537030774433548,-0.6334738442402045,-0.8008907741251325,-0.5525864403719418,-0.8263910189558923,-0.8729147141518276,-0.9279721669980119,-0.5202020202020201,-0.4869418702611621,-0.9464059388013761,-0.8550654172560113,-0.9523158837110682,-0.9769218413217831,-0.8269028112995886,-0.8131703067263497,-0.902020202020202,-0.842091305171434,-0.8866437777902852,-0.8174343241711923,-0.6620419779437923,-0.5559701492537312,-0.6973952886099903,-0.8468836020448289,-0.46074093640626046,-0.6883507485131608,-0.667891373801917,-0.6181443298969072,-0.595899862014587,-0.5206611570247934
1,-0.277864546358086,-0.5955360162326684,-0.3243037799737405,-0.5576670201484624,-0.5747946194818092,-0.9032574688669408,-0.9321930646672915,-0.8134194831013917,-0.42222222222222205,-0.890901432181971,-0.8518920876335325,-0.75632072135785,-0.8871978513876455,-0.9174520636984076,-0.7744161539246013,-0.9433863069666838,-0.9731060606060606,-0.7604091684031067,-0.8013733325828782,-0.9999999999999999,-0.39309854144432577,-0.48134328358208944,-0.4691966731410926,-0.6777428234368856,-0.6047018424354489,-0.9154369318236943,-0.924185303514377,-0.6004810996563574,-0.6195545042381233,-0.9749442476715205
1,-0.932793790524871,0.06391613121406814,-0.9371156105314076,-0.9771792152704135,-0.38521260269025936,-0.383350714680081,-0.5664479850046861,-0.8644135188866799,-0.013131313131313327,0.16048862679022768,-0.921709216005794,-0.5054809052333804,-0.935164679828488,-0.9815912648160807,-0.06469048509365338,-0.0639288611169525,-0.5327272727272727,-0.48323546126160266,-0.6294253391118365,-0.5400826389176788,-0.9467805051583066,0.05916844349680184,-0.9593605259226056,-0.9811246559182069,0.16793237799643368,-0.4584121624899341,-0.45798722044728435,-0.6563573883161511,-0.5170510546027989,-0.3236258690804146
0,0.1443040371054003,0.021305377071355824,0.16799115472323978,-0.1851537645811241,-0.31064367608558285,0.2245874486227839,-0.012652296157450893,-0.00984095427435383,0.262626262626263,-0.4326032013479355,-0.37019735650914376,-0.42282531824611025,-0.2392215992084059,-0.6335511152451074,-0.6712785124247883,0.4772734100399556,-0.508939393939394,-0.0005682894487591961,0.2790003939888559,-0.5335185108411756,0.1497687655638562,0.12739872068230307,0.26490363065889744,-0.2794927251278019,-0.2930066697483986,0.3914874212921189,0.15686900958466454,0.7134020618556702,0.22412773506800732,-0.36035681490226934
1,-0.36494864877656297,-0.5698342915116674,-0.39119618547439705,-0.6304559915164369,-0.4512954771147424,-0.7278694558616037,-0.8802249297094658,-0.7981113320079523,-0.17979797979797962,-0.7165122156697556,-0.9572695998551513,-0.9352899575671851,-0.9420440088583142,-0.9731115917504362,-0.8288744603460583,-0.795445669480578,-0.940959595959596,-0.7599924228073499,-0.6750154781336184,-0.9114049997927116,-0.5083600142298115,-0.5634328358208953,-0.5144180487076049,-0.7614038537160833,-0.48055207026348823,-0.6462438513257851,-0.7849840255591054,-0.5197938144329897,-0.30691898285038444,-0.711793257247803
0,0.15282313408112103,0.1423740277308081,0.13896759035312023,-0.15630965005302233,-0.10860341247630245,-0.22753205324826697,-0.09981255857544535,-0.03936381709741543,-0.14949494949494935,-0.48441449031171,-0.6200615607459715,-0.7167609618104667,-0.6641379635301324,-0.7652288577843025,-0.6138967263827038,-0.6659656923123142,-0.7985858585858586,-0.5101344951695397,-0.8179771486463667,-0.8237220679076322,0.12344361437210938,0.27292110874200426,0.089596095423079,-0.243609909555643,0.4135904378260582,-0.30764230481900834,-0.08083067092651752,0.28659793814433,-0.33254484525921546,-0.4469369014823561
0,0.21340337924180064,-0.19851200541088976,0.18734019763665244,-0.07826086956521738,-0.25611627697029893,-0.31771056990368696,-0.40393626991565135,-0.13608349900596417,0.04444444444444473,-0.7535804549283909,-0.3888828535216369,-0.6349893917963224,-0.46001978985063374,-0.5607081087340633,-0.6538736104973314,-0.5578153633550635,-0.825959595959596,-0.3513923091494602,-0.6879608262509145,-0.7823335129831543,0.2664532194948417,-0.11407249466950953,0.19418297723990263,-0.10351946519858435,-0.15300799049065583,-0.4252311513422786,-0.4222044728434504,0.2508591065292096,-0.4066627242262959,-0.6391184573002755
1,-0.576032940508306,-0.4284748055461618,-0.5881418008430652,-0.7797667020148462,-0.3518100568746052,-0.6468928286608184,-0.843298969072165,-0.8506958250497018,-0.6454545454545453,-0.47472620050547576,-0.8433460076045628,-0.691124469589816,-0.8381001743391604,-0.9397532303071734,-0.6642077710167589,-0.6354733078979783,-0.8878282828282829,-0.7042242849024436,-0.6888050880846512,-0.8261404308831861,-0.6620419779437923,-0.48880597014925375,-0.678470043328851,-0.8502752654345261,-0.429043122234696,-0.7058144385908742,-0.8041533546325879,-0.6213745704467354,-0.7465010841711018,-0.7200577200577201
1,-0.5192389606701688,-0.3784240784578967,-0.5457121138829382,-0.7439660657476139,-0.4361289157714183,-0.7634500950861911,-0.9648078725398314,-0.9156262425447316,-0.5,-0.5568660488626787,-0.9047619047619049,-0.6500176803394625,-0.9244216180558829,-0.9580947257927748,-0.628310160791379,-0.8691981854778142,-0.9705454545454546,-0.791816631937867,-0.6640400742950413,-0.8715365587385817,-0.5937388829598007,-0.19829424307036247,-0.6401215199960155,-0.8144907589461265,-0.23753549494816117,-0.7906103559682162,-0.9280191693290735,-0.6499656357388316,-0.4815690912674946,-0.6616817525908436
1,-0.41606323063088624,-0.619208657423064,-0.426162670167922,-0.6645599151643691,-0.25593572266859255,-0.5975707011839765,-0.5645267104029992,-0.6537773359840955,-0.23030303030303023,-0.48989048020218995,-0.8844830707948579,-0.8088313295615275,-0.8999198982236254,-0.9402762057385348,-0.5328551517829826,-0.7308558896866646,-0.8461111111111111,-0.6387194544421293,-0.4425620532447796,-0.8214418971021101,-0.5133404482390609,-0.5479744136460554,-0.5292594252701827,-0.7581104994101455,0.012084791652908544,-0.615197291187628,-0.5193290734824281,-0.3318213058419244,-0.09954661935738196,-0.5895316804407713
0,-0.37252117942164786,0.013189042948934748,-0.3923018450694491,-0.6359703075291623,-0.27868556468357863,-0.6365867124716276,-0.7523430178069354,-0.6933399602385686,-0.2919191919191917,-0.5223251895534959,-0.9134528336049249,-0.714992927864215,-0.9062338029496302,-0.9513334005730316,-0.8385287418839447,-0.8574818998407787,-0.9092929292929293,-0.7393445728357644,-0.8494962571058704,-0.9606014123239777,-0.36250444681607963,0.2590618336886996,-0.37457044673539497,-0.6738596146283916,0.0028395958528693033,-0.49333954264536106,-0.39361022364217246,-0.08659793814432992,-0.24896510940272032,-0.6856880493244131
1,-0.6896209001845803,-0.5353398714913766,-0.6951143666643632,-0.8495864262990456,-0.3474767536336554,-0.6240721428133245,-0.7957825679475165,-0.7576540755467197,-0.3848484848484848,-0.27632687447346216,-0.9978996921962702,-0.707036775106082,-0.9781651981340999,-0.9980425776711904,-0.4182275554951218,-0.5705831105236279,-0.868030303030303,-0.5843909831407463,-0.5810209939775989,-0.6548512361289608,-0.7936677339025258,-0.4658848614072495,-0.7941132526520244,-0.9153558788832088,-0.010367826718616024,-0.6171377011962629,-0.7151757188498402,-0.4272852233676976,-0.556081214271634,-0.47855175127902405
1,-0.7773675990345023,-0.17281028068988857,-0.789648262041324,-0.8977730646871686,-0.28193554211429106,-0.7750444757990308,-0.8127460168697282,-0.8725646123260438,-0.3616161616161617,-0.3344566133108673,-0.8625384754662322,-0.3286775106082036,-0.8714602082646186,-0.9586924120000448,-0.3726756637318557,-0.7583440982966324,-0.7981818181818182,-0.5143019511271074,-0.16395564811166774,-0.7423959758440085,-0.8637495553183919,-0.30543710021321946,-0.8759898401314805,-0.9456350766810853,-0.48319355477778525,-0.8919385666191266,-0.8723162939297124,-0.8237800687285224,-0.6570076877587226,-0.7521972976518433
1,-0.6138955937337307,-0.49881636794048023,-0.6204823439983415,-0.8108165429480382,0.2055610724925523,-0.4618735046929636,-0.8096063730084349,-0.5757455268389662,-0.09696969696969693,0.2552653748946927,-0.9519101937352888,-0.7039427157001413,-0.947132827592706,-0.979462007702681,-0.2584559948329197,-0.681136780124373,-0.9090909090909091,-0.5131653722295889,-0.5970619688185962,-0.48743142213562174,-0.7324795446460335,-0.535181236673774,-0.7443099755963941,-0.8889598898938261,0.2551013669682356,-0.6588565163819116,-0.7993610223642172,-0.3461168384879725,-0.5209934949733883,-0.18982028072937163
